id,top_color,bottom_color,dress_type,pattern,skin_tone,body_type,fabric,accessories,occasion,recommended_outfit
15,pink,beige,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",party,"pink top with beige bottom, Bodycon dress with plain pattern"
16,pink,beige,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"pink top with beige bottom, Fit-and-Flare dress with geometric pattern"
17,pink,beige,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"pink top with beige bottom, Fit-and-Flare dress with abstract pattern"
18,pink,beige,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"pink top with beige bottom, Fit-and-Flare dress with plain pattern"
19,mint,white,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"mint top with white bottom, A-line dress with geometric pattern"
20,mint,white,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"mint top with white bottom, A-line dress with abstract pattern"
21,mint,white,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"mint top with white bottom, A-line dress with plain pattern"
22,mint,white,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",evening,"mint top with white bottom, Bodycon dress with geometric pattern"
23,mint,white,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",weekend,"mint top with white bottom, Bodycon dress with abstract pattern"
24,mint,white,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",casual,"mint top with white bottom, Bodycon dress with plain pattern"
25,mint,white,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"mint top with white bottom, Fit-and-Flare dress with geometric pattern"
26,mint,white,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"mint top with white bottom, Fit-and-Flare dress with abstract pattern"
27,mint,white,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"mint top with white bottom, Fit-and-Flare dress with plain pattern"
28,mint,navy,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"mint top with navy bottom, A-line dress with geometric pattern"
29,mint,navy,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"mint top with navy bottom, A-line dress with abstract pattern"
30,mint,navy,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"mint top with navy bottom, A-line dress with plain pattern"
31,mint,navy,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",office,"mint top with navy bottom, Bodycon dress with geometric pattern"
32,mint,navy,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",formal,"mint top with navy bottom, Bodycon dress with abstract pattern"
33,mint,navy,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",party,"mint top with navy bottom, Bodycon dress with plain pattern"
34,mint,navy,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"mint top with navy bottom, Fit-and-Flare dress with geometric pattern"
35,mint,navy,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"mint top with navy bottom, Fit-and-Flare dress with abstract pattern"
36,mint,navy,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"mint top with navy bottom, Fit-and-Flare dress with plain pattern"
37,light yellow,denim,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"light yellow top with denim bottom, A-line dress with geometric pattern"
38,light yellow,denim,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"light yellow top with denim bottom, A-line dress with abstract pattern"
39,light yellow,denim,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"light yellow top with denim bottom, A-line dress with plain pattern"
40,light yellow,denim,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",evening,"light yellow top with denim bottom, Bodycon dress with geometric pattern"
41,light yellow,denim,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",weekend,"light yellow top with denim bottom, Bodycon dress with abstract pattern"
42,light yellow,denim,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",casual,"light yellow top with denim bottom, Bodycon dress with plain pattern"
43,light yellow,denim,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"light yellow top with denim bottom, Fit-and-Flare dress with geometric pattern"
44,light yellow,denim,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"light yellow top with denim bottom, Fit-and-Flare dress with abstract pattern"
45,light yellow,denim,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"light yellow top with denim bottom, Fit-and-Flare dress with plain pattern"
46,light yellow,white,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"light yellow top with white bottom, A-line dress with geometric pattern"
47,light yellow,white,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"light yellow top with white bottom, A-line dress with abstract pattern"
48,light yellow,white,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"light yellow top with white bottom, A-line dress with plain pattern"
49,light yellow,white,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",office,"light yellow top with white bottom, Bodycon dress with geometric pattern"
50,light yellow,white,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",formal,"light yellow top with white bottom, Bodycon dress with abstract pattern"
51,light yellow,white,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",party,"light yellow top with white bottom, Bodycon dress with plain pattern"
52,light yellow,white,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"light yellow top with white bottom, Fit-and-Flare dress with geometric pattern"
53,light yellow,white,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"light yellow top with white bottom, Fit-and-Flare dress with abstract pattern"
54,light yellow,white,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"light yellow top with white bottom, Fit-and-Flare dress with plain pattern"
55,white,denim,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"white top with denim bottom, A-line dress with geometric pattern"
56,white,denim,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"white top with denim bottom, A-line dress with abstract pattern"
57,white,denim,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"white top with denim bottom, A-line dress with plain pattern"
58,white,denim,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",evening,"white top with denim bottom, Bodycon dress with geometric pattern"
59,white,denim,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",weekend,"white top with denim bottom, Bodycon dress with abstract pattern"
60,white,denim,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",casual,"white top with denim bottom, Bodycon dress with plain pattern"
61,white,denim,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"white top with denim bottom, Fit-and-Flare dress with geometric pattern"
62,white,denim,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"white top with denim bottom, Fit-and-Flare dress with abstract pattern"
63,white,denim,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"white top with denim bottom, Fit-and-Flare dress with plain pattern"
64,white,black,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"white top with black bottom, A-line dress with geometric pattern"
65,white,black,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"white top with black bottom, A-line dress with abstract pattern"
66,white,black,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"white top with black bottom, A-line dress with plain pattern"
67,white,black,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",office,"white top with black bottom, Bodycon dress with geometric pattern"
68,white,black,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",formal,"white top with black bottom, Bodycon dress with abstract pattern"
69,white,black,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",party,"white top with black bottom, Bodycon dress with plain pattern"
70,white,black,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"white top with black bottom, Fit-and-Flare dress with geometric pattern"
71,white,black,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"white top with black bottom, Fit-and-Flare dress with abstract pattern"
72,white,black,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"white top with black bottom, Fit-and-Flare dress with plain pattern"
73,peach,beige,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"peach top with beige bottom, A-line dress with geometric pattern"
74,peach,beige,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"peach top with beige bottom, A-line dress with abstract pattern"
75,peach,beige,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"peach top with beige bottom, A-line dress with plain pattern"
76,peach,beige,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",evening,"peach top with beige bottom, Bodycon dress with geometric pattern"
77,peach,beige,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",weekend,"peach top with beige bottom, Bodycon dress with abstract pattern"
78,peach,beige,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",casual,"peach top with beige bottom, Bodycon dress with plain pattern"
79,peach,beige,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"peach top with beige bottom, Fit-and-Flare dress with geometric pattern"
80,peach,beige,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"peach top with beige bottom, Fit-and-Flare dress with abstract pattern"
81,peach,beige,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"peach top with beige bottom, Fit-and-Flare dress with plain pattern"
82,peach,brown,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"peach top with brown bottom, A-line dress with geometric pattern"
83,peach,brown,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"peach top with brown bottom, A-line dress with abstract pattern"
84,peach,brown,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"peach top with brown bottom, A-line dress with plain pattern"
85,peach,brown,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",office,"peach top with brown bottom, Bodycon dress with geometric pattern"
86,peach,brown,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",formal,"peach top with brown bottom, Bodycon dress with abstract pattern"
87,peach,brown,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",party,"peach top with brown bottom, Bodycon dress with plain pattern"
88,peach,brown,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"peach top with brown bottom, Fit-and-Flare dress with geometric pattern"
89,peach,brown,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"peach top with brown bottom, Fit-and-Flare dress with abstract pattern"
90,peach,brown,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"peach top with brown bottom, Fit-and-Flare dress with plain pattern"
91,pink,white,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",office,"pink top with white bottom, Shift dress with floral pattern"
92,pink,white,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",formal,"pink top with white bottom, Shift dress with polka dots pattern"
93,pink,white,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",party,"pink top with white bottom, Shift dress with plain pattern"
94,pink,white,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",evening,"pink top with white bottom, Fit-and-Flare dress with floral pattern"
95,pink,white,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",weekend,"pink top with white bottom, Fit-and-Flare dress with polka dots pattern"
96,pink,white,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",casual,"pink top with white bottom, Fit-and-Flare dress with plain pattern"
97,pink,white,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",office,"pink top with white bottom, Maxi dress with floral pattern"
98,pink,white,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",formal,"pink top with white bottom, Maxi dress with polka dots pattern"
99,pink,white,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",party,"pink top with white bottom, Maxi dress with plain pattern"
100,pink,beige,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",evening,"pink top with beige bottom, Shift dress with floral pattern"
101,pink,beige,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",weekend,"pink top with beige bottom, Shift dress with polka dots pattern"
102,pink,beige,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",casual,"pink top with beige bottom, Shift dress with plain pattern"
103,pink,beige,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",office,"pink top with beige bottom, Fit-and-Flare dress with floral pattern"
104,pink,beige,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",formal,"pink top with beige bottom, Fit-and-Flare dress with polka dots pattern"
105,pink,beige,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",party,"pink top with beige bottom, Fit-and-Flare dress with plain pattern"
106,pink,beige,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",evening,"pink top with beige bottom, Maxi dress with floral pattern"
107,pink,beige,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",weekend,"pink top with beige bottom, Maxi dress with polka dots pattern"
108,pink,beige,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",casual,"pink top with beige bottom, Maxi dress with plain pattern"
109,mint,white,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",office,"mint top with white bottom, Shift dress with floral pattern"
110,mint,white,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",formal,"mint top with white bottom, Shift dress with polka dots pattern"
111,mint,white,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",party,"mint top with white bottom, Shift dress with plain pattern"
112,mint,white,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",evening,"mint top with white bottom, Fit-and-Flare dress with floral pattern"
113,mint,white,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",weekend,"mint top with white bottom, Fit-and-Flare dress with polka dots pattern"
114,mint,white,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",casual,"mint top with white bottom, Fit-and-Flare dress with plain pattern"
115,mint,white,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",office,"mint top with white bottom, Maxi dress with floral pattern"
116,mint,white,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",formal,"mint top with white bottom, Maxi dress with polka dots pattern"
117,mint,white,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",party,"mint top with white bottom, Maxi dress with plain pattern"
118,mint,navy,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",evening,"mint top with navy bottom, Shift dress with floral pattern"
119,mint,navy,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",weekend,"mint top with navy bottom, Shift dress with polka dots pattern"
120,mint,navy,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",casual,"mint top with navy bottom, Shift dress with plain pattern"
121,mint,navy,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",office,"mint top with navy bottom, Fit-and-Flare dress with floral pattern"
122,mint,navy,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",formal,"mint top with navy bottom, Fit-and-Flare dress with polka dots pattern"
123,mint,navy,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",party,"mint top with navy bottom, Fit-and-Flare dress with plain pattern"
124,mint,navy,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",evening,"mint top with navy bottom, Maxi dress with floral pattern"
125,mint,navy,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",weekend,"mint top with navy bottom, Maxi dress with polka dots pattern"
126,mint,navy,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",casual,"mint top with navy bottom, Maxi dress with plain pattern"
127,light yellow,denim,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",office,"light yellow top with denim bottom, Shift dress with floral pattern"
128,light yellow,denim,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",formal,"light yellow top with denim bottom, Shift dress with polka dots pattern"
129,light yellow,denim,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",party,"light yellow top with denim bottom, Shift dress with plain pattern"
130,light yellow,denim,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",evening,"light yellow top with denim bottom, Fit-and-Flare dress with floral pattern"
131,light yellow,denim,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",weekend,"light yellow top with denim bottom, Fit-and-Flare dress with polka dots pattern"
132,light yellow,denim,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",casual,"light yellow top with denim bottom, Fit-and-Flare dress with plain pattern"
133,light yellow,denim,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",office,"light yellow top with denim bottom, Maxi dress with floral pattern"
134,light yellow,denim,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",formal,"light yellow top with denim bottom, Maxi dress with polka dots pattern"
135,light yellow,denim,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",party,"light yellow top with denim bottom, Maxi dress with plain pattern"
136,light yellow,white,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",evening,"light yellow top with white bottom, Shift dress with floral pattern"
137,light yellow,white,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",weekend,"light yellow top with white bottom, Shift dress with polka dots pattern"
138,light yellow,white,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",casual,"light yellow top with white bottom, Shift dress with plain pattern"
139,light yellow,white,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",office,"light yellow top with white bottom, Fit-and-Flare dress with floral pattern"
140,light yellow,white,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",formal,"light yellow top with white bottom, Fit-and-Flare dress with polka dots pattern"
141,light yellow,white,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",party,"light yellow top with white bottom, Fit-and-Flare dress with plain pattern"
142,light yellow,white,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",evening,"light yellow top with white bottom, Maxi dress with floral pattern"
143,light yellow,white,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",weekend,"light yellow top with white bottom, Maxi dress with polka dots pattern"
144,light yellow,white,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",casual,"light yellow top with white bottom, Maxi dress with plain pattern"
145,white,denim,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",office,"white top with denim bottom, Shift dress with floral pattern"
146,white,denim,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",formal,"white top with denim bottom, Shift dress with polka dots pattern"
147,white,denim,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",party,"white top with denim bottom, Shift dress with plain pattern"
148,white,denim,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",evening,"white top with denim bottom, Fit-and-Flare dress with floral pattern"
149,white,denim,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",weekend,"white top with denim bottom, Fit-and-Flare dress with polka dots pattern"
150,white,denim,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",casual,"white top with denim bottom, Fit-and-Flare dress with plain pattern"
151,white,denim,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",office,"white top with denim bottom, Maxi dress with floral pattern"
152,white,denim,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",formal,"white top with denim bottom, Maxi dress with polka dots pattern"
153,white,denim,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",party,"white top with denim bottom, Maxi dress with plain pattern"
154,white,black,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",evening,"white top with black bottom, Shift dress with floral pattern"
155,white,black,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",weekend,"white top with black bottom, Shift dress with polka dots pattern"
156,white,black,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",casual,"white top with black bottom, Shift dress with plain pattern"
157,white,black,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",office,"white top with black bottom, Fit-and-Flare dress with floral pattern"
158,white,black,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",formal,"white top with black bottom, Fit-and-Flare dress with polka dots pattern"
159,white,black,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",party,"white top with black bottom, Fit-and-Flare dress with plain pattern"
160,white,black,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",evening,"white top with black bottom, Maxi dress with floral pattern"
161,white,black,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",weekend,"white top with black bottom, Maxi dress with polka dots pattern"
162,white,black,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",casual,"white top with black bottom, Maxi dress with plain pattern"
163,peach,beige,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",office,"peach top with beige bottom, Shift dress with floral pattern"
164,peach,beige,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",formal,"peach top with beige bottom, Shift dress with polka dots pattern"
165,peach,beige,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",party,"peach top with beige bottom, Shift dress with plain pattern"
166,peach,beige,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",evening,"peach top with beige bottom, Fit-and-Flare dress with floral pattern"
167,peach,beige,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",weekend,"peach top with beige bottom, Fit-and-Flare dress with polka dots pattern"
168,peach,beige,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",casual,"peach top with beige bottom, Fit-and-Flare dress with plain pattern"
169,peach,beige,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",office,"peach top with beige bottom, Maxi dress with floral pattern"
170,peach,beige,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",formal,"peach top with beige bottom, Maxi dress with polka dots pattern"
171,peach,beige,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",party,"peach top with beige bottom, Maxi dress with plain pattern"
172,peach,brown,Shift,floral,fair,pear,linen,"['necklace', 'bracelet']",evening,"peach top with brown bottom, Shift dress with floral pattern"
173,peach,brown,Shift,polka dots,fair,pear,linen,"['necklace', 'bracelet']",weekend,"peach top with brown bottom, Shift dress with polka dots pattern"
174,peach,brown,Shift,plain,fair,pear,linen,"['necklace', 'bracelet']",casual,"peach top with brown bottom, Shift dress with plain pattern"
175,peach,brown,Fit-and-Flare,floral,fair,pear,cotton,"['necklace', 'bracelet']",office,"peach top with brown bottom, Fit-and-Flare dress with floral pattern"
176,peach,brown,Fit-and-Flare,polka dots,fair,pear,cotton,"['necklace', 'bracelet']",formal,"peach top with brown bottom, Fit-and-Flare dress with polka dots pattern"
177,peach,brown,Fit-and-Flare,plain,fair,pear,cotton,"['necklace', 'bracelet']",party,"peach top with brown bottom, Fit-and-Flare dress with plain pattern"
178,peach,brown,Maxi,floral,fair,pear,silk,"['necklace', 'bracelet']",evening,"peach top with brown bottom, Maxi dress with floral pattern"
179,peach,brown,Maxi,polka dots,fair,pear,silk,"['necklace', 'bracelet']",weekend,"peach top with brown bottom, Maxi dress with polka dots pattern"
180,peach,brown,Maxi,plain,fair,pear,silk,"['necklace', 'bracelet']",casual,"peach top with brown bottom, Maxi dress with plain pattern"
181,pink,white,Empire,striped,fair,apple,cotton,"['necklace', 'bracelet']",office,"pink top with white bottom, Empire dress with striped pattern"
182,pink,white,Empire,geometric,fair,apple,cotton,"['necklace', 'bracelet']",formal,"pink top with white bottom, Empire dress with geometric pattern"
183,pink,white,Empire,plain,fair,apple,cotton,"['necklace', 'bracelet']",party,"pink top with white bottom, Empire dress with plain pattern"
184,pink,white,Sheath,striped,fair,apple,linen,"['necklace', 'bracelet']",evening,"pink top with white bottom, Sheath dress with striped pattern"
185,pink,white,Sheath,geometric,fair,apple,linen,"['necklace', 'bracelet']",weekend,"pink top with white bottom, Sheath dress with geometric pattern"
186,pink,white,Sheath,plain,fair,apple,linen,"['necklace', 'bracelet']",casual,"pink top with white bottom, Sheath dress with plain pattern"
187,pink,white,Bodycon,striped,fair,apple,silk,"['necklace', 'bracelet']",office,"pink top with white bottom, Bodycon dress with striped pattern"
188,pink,white,Bodycon,geometric,fair,apple,silk,"['necklace', 'bracelet']",formal,"pink top with white bottom, Bodycon dress with geometric pattern"
189,pink,white,Bodycon,plain,fair,apple,silk,"['necklace', 'bracelet']",party,"pink top with white bottom, Bodycon dress with plain pattern"
190,pink,beige,Empire,striped,fair,apple,cotton,"['necklace', 'bracelet']",evening,"pink top with beige bottom, Empire dress with striped pattern"
191,pink,beige,Empire,geometric,fair,apple,cotton,"['necklace', 'bracelet']",weekend,"pink top with beige bottom, Empire dress with geometric pattern"
192,pink,beige,Empire,plain,fair,apple,cotton,"['necklace', 'bracelet']",casual,"pink top with beige bottom, Empire dress with plain pattern"
193,pink,beige,Sheath,striped,fair,apple,linen,"['necklace', 'bracelet']",office,"pink top with beige bottom, Sheath dress with striped pattern"
